批次,批次名称,邀请码,邀请码链接,是否使用,使用人id,使用人昵称,使用时间,邀请码标题,使用须知,申请人,申请原因,生效时间,失效时间,生成时间
648779,"Jon Allen讲创伤与依恋创伤","		5041876843306429",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/5041876843306429,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		9774845443800486",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/9774845443800486,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		5283942375440640",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/5283942375440640,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		4142697135140916",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/4142697135140916,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		2991425189686180",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/2991425189686180,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3339200652062224",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3339200652062224,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		1265427214185088",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/1265427214185088,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3186282813435687",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3186282813435687,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		9523706848708581",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/9523706848708581,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		7679508632099968",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/7679508632099968,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
